,skillId,skillName,skillDesc
46,040632.S0827,SAP.HR Time Management,"Assists clients in the selection, implementation, and support of SAP HR Time Management module. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results. This role includes implementation planning, fit analysis, configuration, testing, rollout and post-implementation support. Consultant resolves configuration and functional business issues within the time management module of SAP HR. | SAP Time"
47,040632.S0828,CRM Applications,"Assists clients in the selection, design, implementation, and support of CRM Applications. Skills include software selection, requirements definition, configuration, testing. Tools include Curam, e.Piphany"
48,040632.S0831,SAP.IS (Other Industries),"Assists clients in the selection, implementation, and support of the SAP Industry Solutions.  This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business."
49,040632.S0833,IBM Maximo,"Assists clients in the selection, implementation, and support of the Maximo application packaged solution for Asset Management (formerly MRO Maximo). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
50,040632.S0834,SAP.SCM.APO,"Assists clients in the selection, implementation, and support of the Advanced Planner and Optimizer (APO) components of the SAP SCM Module.  Focusing on collaboration, planning execution and coordination across the adaptive supply chain network.  This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business."
51,040632.S1021,SAP.HR Comp Bens,"Assists clients in the selection, implementation, and support of SAP HR Compensation Management and Benefits module. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results. This role includes implementation planning, fit analysis, configuration, testing, rollout and post-implementation support. Consultant resolves configuration and functional business issues specializing in the compensation management module of SAP HR. | SAP Comp Management SAP Comp Mgt SAP Comp Mgt SAP Benefits"
52,040632.S1022,SAP.HR.Self Serve,"Assists clients in the selection, implementation, and support of SAP HR Employee Self serve (ESS) and Manager Self Serve (MSS). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results. This role includes implementation planning, fit analysis, configuration, testing, rollout and post-implementation support. Consultant resolves configuration and functional business issues specializing in the ESS / MSS scenarios of SAP HR.  SAP ESS/MSS SAP ESS SAP MSS"
53,040632.S1024,Siebel Functional,"Designs and develops CRM business process solutions as part of Siebel implementations. Specializes in package enabled process transformation using Siebel.  Skills include process documentation, definition and implementation, CRM processes and understanding of Siebel eBusiness Applications, user interface customization, Siebel Workflow, Siebel Assignment Manager."
54,040632.S2174,Logistics,"Assists clients in the selection, implementation and support of Logistics Warehouse Management Systems (WMS) and Logistics Transportation Systems (TMS) including but not limited to Dview, EXE, Catalyst, SSA Provia, Manhattan, Red Prairie, Retek WMS, and Sterling Commerce Yantra as well as OracleTMS (Glog), i2 TMS, and Manugistics TMS. This role requires consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
55,040632.S2182,PLM Systems,"Assists clients in the selection, implementation and support of PLM Systems including but not limited to PTC Windchill, Oracle Agile, Matrix One, or Siemens UGS. This role requires consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client business environment in order to achieve client expected business results."
56,040632.S2459,ISSIS.FileNet Image Services,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
57,040632.S2461,ISSIS.FileNet Capture,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
58,040632.S2462,ISSIS.FileNet Content Manager,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
59,040632.S2463,ISSIS.FileNet Business Process Manager,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
60,040632.S2464,ISSIS.FileNet Compliance,"This role assists clients in the selection, implementation, and production support of application packaged solutions.  They use in-depth consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients' business environment in order to achieve client expected business results."
61,040632.S2466,ISSIS.IBM Document Manager,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
62,040632.S2467,ISSIS.IBM Records Manager,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
63,040632.S2468,ISSIS.IBM IICE,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
64,040632.S2469,ISSIS.IBM CommonStore,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
65,040632.S2470,ISSIS.IBM OnDemand,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
66,040632.S2471,ISSIS.IBM OmniFind,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
67,040632.S2472,ISSIS.IBM Content Manager z/OS,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
68,040632.S2650,SAP.SCM.SD.VC,"Responsible for designing and constructing Configurable Products including defining product classes, characteristics, object dependencies, configuration profiles, and variant pricing in the SAP Supply Chain Mgt – Sales & Distribution and Variant Configuration(LO-VC) Module.  This role also needs knowledge of designing and constructing configurable products integration into Order-to-Cash process. | SCM, SD, VC"
69,040632.S3052,HCM Applications,"Assists clients in the selection, implementation, and support of Human Capital Management (HCM)-related Cloud applications, including but not limited to SuccessFactors, Oracle Fusion and Workday, as well as non HCM Cloud applications such as HR Access  This specialty requires consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
70,040632.S3428,SAP.IS Utilities,"Assists clients in the selection, implementation, and support of the SAP Industry Solution for Utilities companies (ISU). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
71,040632.S3842,Oracle Edge,"Assists clients in the selection, implementation, and support of Oracle 'Edge' products including: Agile (Product Lifecycle Management), Demantra (Supply Chain Planning), and Oracle Transportation Management.  This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients' business environment in order to achieve client expected business results. | OTM, PLM, SCP"
72,040632.S3843,Oracle Industry,"Assists clients in the selection, implementation, and support of Oracle Industry products including: Portal, Metasolv (Communications); SPL, Lodestar, Enterprise Tax Management (Utilities); iflex, UCCB FSS, Reveleus (Financial Services); Admin Server, Skywire (Insurance); 360 Commerce, ProfitLogic (Retail); and Clinical, LSH (Health Sciences).   This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients' business environment in order to achieve client expected business results. | ETM"
73,040632.S3844,OBIEE,"Assists clients in the selection, implementation, and support of the Oracle Business Intelligence Enterprise Edition suite of products which includes a number of process and industry based analytic applications.  This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients' business environment in order to achieve client expected business results. | EPM, OBI EE"
74,040632.S4518,SAP.SCM.SNC,"Global document exchange offering that allows you to transact business electronically with thousands of suppliers through a single, standards based network connection."
75,040632.S4803,Pega,"Assists clients in the selection, implementation, and support of the Pega PRPC based solution for managing their Customer Relationship Management (CRM) - primarily through implementation of contact center desktop or Business Process Management (BPM) services. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively configure, customize and integrate packaged technology into the client's business environment in order to achieve expected business results.  Provides consulting support to projects during the vision and strategy, architecture, and development phases and has hands on experience with Pega Solution Frameworks for Financial Services like NBB, Smart Investigate and Smart Dispute."
76,040632.S4902,SEI-Smarter Commerce,DO NOT SELECT - SCHEDULED FOR DELETION Replacement Id: 045315.S7454 Replacement Name: Transition Employee: Universal
77,040632.S4910,Oracle.Customer Care & Billing,"Responsible for analyzing functional requirements and creating technical design by leveraging deep technical knowledge of Oracle Customer Care & Billing. This position will develop and communicate the detailed technology architecture and implementation strategy for a solution to the client and project team, then design a solution for a system."
78,040632.S4911,Coremetrics,"Packaged solution for web analytics (formerly Coremetrics). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
79,040632.S4912,Sterling.OMS,"Sterling Order Management System (OMS) Consultant, Assists Clients in the selection, implementation, and support of the Sterling OMS (formerly Sterling Commerce and Yantra).  This  specialaty uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
80,040632.S4913,Unica,"Assists clients in the selection, implementation, and support of the IBM Unica application packaged solution for Enterprise Marketing Management (formerly Unica). This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
81,040632.S4931,SAP.IS Banking,"Proficient in Banking Functional Processes, Core Banking Applications and SAP Banking Product comprising of SAP Transactional Banking, SAP Leasing, SAP Bank Analyzer."
82,040632.S4997,Tririga,"Assists clients in the selection, implementation, and support of the IBM Tririga application packaged solution for real estate lifecycle management software and services. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
83,040632.S5473,Algorithmic,"Assists clients in the selection, implementation and support financial risk management solution using Algorithmics, an IBM product. Algorithmics is a leading provider of financial risk management solutions designed to help manage risk exposure and optimize capital, primarily within the financial services industry. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
84,040632.S5474,OpenPages,"Assists clients in the selection, implementation and support operational risk management solution using OpenPages, an IBM product. OpenPages operational risk management (ORM) software enables Financial Services companies to manage operational risk, as detailed by the Basel II accord; including support for basic, standard and Advanced Measurement Approach. The capability to configure the OpenPages solution enables our customers to achieve a rapid time-to-value and, once implemented, to adapt the solution over time as the risk framework evolves in response to changing regulatory, competitive and internal operating environments. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
85,040632.S5510,MS Dynamics 365 AX,"Functional specialty for Microsoft Dynamics 365 AX, which assists clients in the selection, implementation, and support of Microsoft Dynamics 365 AX modules. This specialty uses consulting skill, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve the expected business results. This specialty requires knowledge of installation and configuration of Microsoft Dynamics 365 AX and its related components. This specialty requires the ability to identify opportunities for improvement and understanding the functional capabilities and limitations of MS Dynamics 365 AX. It also requires experience on documentation of functional/solution design and also in system/integration testing for MS Dynamics 365 AX applications."
86,040632.S5549,Curam,"Assists clients in the selection, implementation, and support of the IBM Curam application packaged solution for Business Process Management (BPM) services. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the client's business environment in order to achieve client expected business results."
87,040632.S5674,Cognos Incentive Compensation Management,"Assists in the implementation of IBM Cognos Incentive Compensation Management and applies business intelligence to compensation processes that involves extensive reporting and analytics. Also provides support as the compensation administrator and understands the functionality to set up, maintain, and report on all aspects of compensation management. Varicent was acquired by IBM in May 2012 and the product Varicent Sales Performance Management is now renamed as IBM Cognos Incentive Compensation Management."
88,040632.S5705,SAP.MDG,"Responsible for Design, Development of SAP Master Data Governance Solutions. Strong expertise with controlling master data flow between SAP and non-SAP applications with predefined data models. Apply, reuse, and integrate existing business logic and infrastructure to validate & govern data"
89,040632.S5706,SAP.RTL,"Responsible for Design, Development of SAP Ready to Launch objects. Strong expertise with ETL Job Mappings using IBM Infosphere tool within SAP source & target objects. Strong knowledge of SAP Business Process preferred."
90,040632.S5707,SAP.BOBJ.Reporting,"Responsible for Design & Development of BOBJ Reports within a Business Objects Enterprise landscape. Strong hands on exerience with reporting tools like Webi, Crystal, Analysis, Explorer, SAP Visual Intelligence"
91,040632.S5708,SAP.BOBJ.Dashboards,"Responsible for Design & Development of BOBJ Dashboards within a Business Objects Enterprise landscape. Very strong hands on exerience with Business Objects Dashboards (formerly Xcelsius) and ability to build complex dashboards integrated with SAP datasources like SAP HANA, SAP BW, ECC & Relational sources"
92,040632.S5709,SAP.BOBJ.Data Services,Responsible for Design & Development of BOBJ Data Services ETL jobs within a Business Objects Enterprise landscape. Very strong hands on exerience with Business Objects Data Services and ability to build complex ETL Data Flows. Also strong knowledge of configuring BW extractors with Data Services & HANA Replication with Data Services.
93,040632.S5710,SAP.HANA,"Responsible for Design & Development of SAP BW objects which includes Infocubes, Infoproviders, DSO, Multiproviders over both HANA & relational database. Very strong hands on exerience with BW Data Modelling, BW Data loads, delta jobs, extractor configuration, Bex Reporting and ABAP skills. Strong knowledge of converting BW Infoproviders to In-Memory HANA Based Infoproviders"
94,040632.S5711,SAP.HANA.Enterprise,"Owns the SAP HANA Enterprise Solution Architecture which includes End to End Architecture of HANA system configured with SAP Business Suite & ERP systems, HANA Modelling Layer, HANA XS Server, HANA Integration with BOBJ, HANA Integration with Data Services and new features that will be published in near future"
95,040632.S5715,SAP.SCM.APO.GATP,"Assists clients in the selection, implementation, and support of Global Available to Promise Module of SAP Advanced Planning and Optimisation(APO) product. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
96,040632.S5716,SAP.SCM.EWM,"Assists clients in the selection, implementation, and support of SAP Supply Chain Management - extended Warehouse Mgt Module. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
97,040632.S5717,SAP.SCM.TM,"Assists clients in the selection, implementation, and support of SAP Supply Chain Management - Transportation Management Module. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
98,040632.S5719,SAP.Mobility,"Assists clients in the selection, implementation, and support of SAP Mobility products, such as, Sybase Unwired Platform, Sybase Afaria and Syclo's Agentry Mobile Platform.  Uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate package technology into the clients' business environment in order to achieve client expected business results.  Understands how SAP Mobility fits into comprehensive, innovative SAP solutions and strategies."
99,040632.S5721,SAP.MII,"Assists clients in the selection, implementation, and support of SAP Manufacturing Integration and Intelligence product. This role uses consulting skills, business knowledge, and packaged solution expertise to effectively integrate packaged technology into the clients business environment in order to achieve client expected business results."
100,040632.S5896,Salesforce,"Assists clients in the design, business architect, process development, functional implementation, and support of Salesforce CRM Applications. Experience & demonstrate understanding of overall SFDC architecture and platform. Effectively run business user design and user experience sessions. Uses consulting skills, business knowledge and SFDC CRM experience to lead business / functional discussion with the client and internal teams (design, build, test teams). Demonstrate experience in Agile, Scrum and Waterfall methods for Software Development Life Cycle (SDLC). Understand client's business pain points and offer solution to address leveraging salesforce.com platform/ offerings. Provide experience in designing workflow rules to enforce business processes. Familiar with executing system and user acceptance testing, user adoption, change management and training methods."
